word;is_positive;is_negative;sentiment;is_neutral;anger;anticipation;disgust;fear;joy;sadness;surprise;trust
алапес;0;1;-1;0;0;0;1;1;0;1;0;0
аласапыран;0;1;-1;0;1;0;0;1;0;0;1;0
алау;0;1;-1;0;1;0;0;0;0;0;0;0
алаяқ;0;1;-1;0;0;0;0;0;0;0;0;0
алаяқтық;0;1;-1;0;1;0;0;0;0;0;0;0
албырт;0;1;-1;0;0;0;0;0;0;0;0;0
алгебра;0;0;0;1;0;0;0;0;0;0;0;0
алгебралық;0;0;0;1;0;0;0;0;0;0;0;0
алгоритм;0;0;0;1;0;0;0;0;0;0;0;0
алға;1;0;1;0;0;0;0;0;0;0;0;0
алғашқы;0;0;0;1;0;0;0;0;0;0;0;0
алғы сөз;0;0;0;1;0;0;0;0;0;0;0;0
алғыс;1;0;1;0;0;0;0;0;1;0;0;0
алғыс айту;1;0;1;0;0;0;0;0;1;0;0;0
алғыссыз;0;1;-1;0;1;0;1;0;0;0;0;0
алғышарт;0;0;0;0;0;1;0;0;0;0;0;0
алда;1;0;1;0;0;0;0;0;0;0;0;0
алдағы;1;0;1;0;0;1;0;1;0;0;0;0
алдамшы;0;1;-1;0;1;0;1;0;0;0;0;0
алдау;0;1;-1;0;1;0;0;1;0;0;1;1
алды;1;0;1;0;0;0;0;0;0;0;0;0
алдын ала;1;0;1;0;0;1;0;1;1;0;1;0
алдын ала ойлау;0;0;0;1;0;0;0;0;0;0;0;0
алдын алу;1;0;1;0;0;1;0;1;0;0;0;0
алдында;1;0;1;0;0;0;0;0;0;0;0;0
алдыңғы;1;0;1;0;0;0;0;0;0;0;0;0
алдыңғы бөлік;0;0;0;1;0;0;0;0;0;0;0;0
алдыңғы жоспар;0;0;0;1;0;0;0;0;0;0;0;0
алебастр;1;0;1;0;0;0;0;0;0;0;0;0
алжапқыш;0;0;0;1;0;0;0;0;0;0;0;0
алжасу;0;1;-1;0;1;0;1;1;0;1;0;0
аликвот;0;0;0;1;0;0;0;0;0;0;0;0
алкалоидтар;0;0;0;1;0;0;0;0;0;0;0;0
алкоголизм;0;1;-1;0;1;0;1;1;0;1;0;0
алкоголь;0;0;0;1;0;0;0;0;0;0;0;0
алқа;0;0;0;1;0;0;0;0;0;0;0;0
алқалы;0;0;0;1;0;0;0;0;0;0;0;0
алқап;0;0;0;1;0;0;0;0;0;0;0;0
аллегория;0;0;0;1;0;0;0;0;0;0;0;0
аллегориялық;0;0;0;1;0;0;0;0;0;0;0;0
аллея;0;0;0;1;0;0;0;0;0;0;0;0
аллигатор;0;0;0;1;0;0;0;0;0;0;0;0
алма;0;0;0;1;0;0;0;0;0;0;0;0
алмаз;1;0;1;0;0;0;0;0;1;0;0;0
алмаздар;0;0;0;1;0;0;0;0;0;0;0;0
алмасты;0;0;0;1;0;0;0;0;0;0;0;0
алмастыру;0;0;0;1;0;0;0;0;0;0;0;0
алмастырушы;0;0;0;1;0;0;0;0;0;0;0;0
алмасу;0;0;0;1;0;0;0;0;0;0;0;0
алпыс;0;0;0;1;0;0;0;0;0;0;0;0
алтыбұрыш;0;0;0;1;0;0;0;0;0;0;0;0
алтын;1;0;1;0;0;0;0;0;0;0;0;0
алтын жалатылған;0;0;0;1;0;0;0;0;0;0;0;0
алтыншы;0;0;0;1;0;0;0;0;0;0;0;0
алтырау;0;1;-1;0;0;0;0;0;0;0;0;0
алу;1;0;1;0;0;1;0;0;0;0;0;0
алуан түрлі;1;1;0;0;0;0;0;0;0;0;0;0
алуға болады;1;0;1;0;0;0;0;0;1;0;0;0
алушы;0;0;0;0;0;1;0;0;0;0;0;0
алфавит;0;0;0;1;0;0;0;0;0;0;0;0
алфавиттік;0;0;0;1;0;0;0;0;0;0;0;0
алхимия;0;0;0;1;0;0;0;0;0;0;0;0
алхоры;0;0;0;1;0;0;0;0;0;0;0;0
алшақтау;0;0;0;1;0;0;0;0;0;0;0;0
алшақтық;0;0;0;1;0;0;0;0;0;0;0;0
алым;0;0;0;1;0;0;0;0;0;0;0;0
алымдар;0;0;0;1;0;0;0;0;0;0;0;0
алынбаған;0;0;0;1;0;0;0;0;0;0;0;0
алып;1;0;1;0;0;0;0;1;0;0;0;0
алып жүрді;0;0;0;1;0;0;0;0;0;0;0;0
алып жүру;0;0;0;0;0;0;0;0;0;0;0;1
алып қою;0;0;0;1;0;0;0;0;0;0;0;0
алыпсатар;0;1;-1;0;0;0;0;0;0;0;0;0
алыпсатарлық;0;1;-1;0;0;1;0;1;0;1;0;0
алыс;0;0;0;1;0;0;0;0;0;0;0;0
альбом;0;0;0;1;0;0;0;0;0;0;0;0
альпинист;0;0;0;1;0;0;0;0;0;0;0;0
альт;0;0;0;1;0;0;0;0;0;0;0;0
амалсыз;0;1;-1;0;0;0;0;1;0;1;0;1
амалсыздан;0;1;-1;0;0;0;0;0;0;0;0;0
амальгама;0;0;0;1;0;0;0;0;0;0;0;0
аман қалу;1;0;1;0;0;0;0;0;0;0;0;0
аман-сәлемсіз;0;1;-1;0;0;0;0;0;0;0;0;0
аманатқа қиянат;0;1;-1;0;0;0;0;0;0;0;0;0
амбиция;1;0;1;0;0;1;0;0;1;0;0;1
амбициялы;0;0;0;1;0;0;0;0;0;0;0;0
аммиак;0;0;0;0;0;0;1;0;0;0;0;0
амнезия;0;1;-1;0;0;0;0;0;0;0;0;0
амортизация;0;0;0;0;0;0;0;0;0;0;0;1
аморфты;0;0;0;1;0;0;0;0;0;0;0;0
амплитудасы;0;0;0;1;0;0;0;0;0;0;0;0
ампутация;0;0;0;1;0;0;0;0;0;0;0;0
амулет;0;0;0;1;0;0;0;0;0;0;0;0
амфибия;0;0;0;1;0;0;0;0;0;0;0;0
ана;1;1;0;0;0;1;0;0;1;1;0;1
анаконда;0;1;-1;0;0;0;1;1;0;0;0;0
аналитикалық;0;0;0;1;0;0;0;0;0;0;0;0
аналық;1;1;0;0;0;1;0;0;0;0;0;0
аналық без;0;0;0;1;0;0;0;0;0;0;0;0
анальгетик;0;0;0;1;0;0;0;0;0;0;0;0
ананас;0;0;0;1;0;0;0;0;0;0;0;0
анархизм;0;1;-1;0;1;0;0;1;0;0;0;0
анархист;0;1;-1;0;1;0;0;1;0;0;0;0
анархия;0;1;-1;0;1;0;0;1;0;0;0;0
анасыз;0;1;-1;0;0;0;0;0;0;0;0;0
анатомия;0;0;0;1;0;0;0;0;0;0;0;0
анатомиялық;0;0;0;1;0;0;0;0;0;0;0;0
ангиография;0;0;0;1;0;0;0;0;0;0;0;0
анда-санда;0;0;0;1;0;0;0;0;0;0;0;0
андеррайтер;1;0;1;0;0;0;0;0;0;0;0;1
андроген;0;0;0;1;0;0;0;0;0;0;0;0
анестезия;0;0;0;1;0;0;0;0;0;0;0;0
анимация;0;0;0;1;0;0;0;0;0;0;0;0
анимациялық;1;0;1;0;0;0;0;0;1;0;0;0
аннотация;0;0;0;1;0;0;0;0;0;0;0;0
аномальды;0;0;0;1;0;0;0;0;0;0;0;0
ант;1;0;1;0;0;1;0;0;1;0;0;1
ант беру;1;0;1;0;0;0;0;0;0;0;0;1
антагонистік;0;1;-1;0;1;0;1;0;0;0;0;0
анте;0;0;0;1;0;0;0;0;0;0;0;0
антенна;0;0;0;1;0;0;0;0;0;0;0;0
антибиотик;0;0;0;1;0;0;0;0;0;0;0;0
антибиотиктер;1;0;1;0;0;0;0;0;0;0;0;0
антидот;1;0;1;0;0;1;0;0;0;0;0;1
антиквариат;1;0;1;0;0;0;0;0;0;0;0;0
антилопа;0;0;0;1;0;0;0;0;0;0;0;0
антисептикалық;1;0;1;0;0;0;0;0;0;0;0;1
антитетикалық;0;0;0;1;0;0;0;0;0;0;0;0
антология;0;0;0;1;0;0;0;0;0;0;0;0
антропология;0;0;0;1;0;0;0;0;0;0;0;0
анық;1;0;1;0;0;0;0;0;0;0;0;1
анықталатын;0;0;0;1;0;0;0;0;0;0;0;0
анықталған;0;0;0;1;0;0;0;0;0;0;0;0
анықталды;1;0;1;0;0;0;0;0;0;0;0;0
анықталмаған;0;0;0;1;0;0;0;0;0;0;0;0
анықтама;0;0;0;0;0;1;0;0;0;0;0;0
анықтамалық;0;0;0;0;0;0;0;0;0;0;0;1
анықтамасы;0;0;0;1;0;0;0;0;0;0;0;0
анықтау;1;0;1;0;0;1;0;0;0;0;0;1
аң аулау;0;0;0;1;0;0;0;0;0;0;0;0
аңғал;0;1;-1;0;0;0;0;0;0;0;0;0
аңғалақ;0;1;-1;0;1;0;0;0;0;0;0;0
аңғалдық;0;1;-1;0;0;0;0;0;0;0;0;0
аңғару;0;0;0;1;0;0;0;0;0;0;0;0
аңду;0;0;0;0;0;0;0;1;0;0;1;0
аңқау;0;1;-1;0;0;0;0;0;0;0;0;0
аңқау-ақымақ;0;1;-1;0;0;0;0;0;0;0;0;0
аңқаулық;0;1;-1;0;0;0;0;0;0;0;0;0
аңсау;0;0;0;0;0;1;0;0;0;0;0;0
аңшы;0;1;-1;0;0;1;0;1;0;1;0;0
аңшылық;0;1;-1;0;1;1;0;1;0;0;0;0
аңыз;0;0;0;1;0;0;0;0;0;0;0;0
апалы-сіңлілік;1;0;1;0;1;0;0;0;0;1;1;1
апат;0;1;-1;0;0;0;0;1;0;1;1;0
апелляция;0;0;0;0;0;1;0;0;0;0;0;0
апельсин;0;0;0;1;0;0;0;0;0;0;0;0
аппарат;0;0;0;1;0;0;0;0;0;0;0;0
аппараттық құрал;0;0;0;1;0;0;0;0;0;0;0;0
апробация;1;0;1;0;0;0;0;0;0;0;0;1
апта;0;0;0;1;0;0;0;0;0;0;0;0
апта сайын;0;0;0;1;0;0;0;0;0;0;0;0
апыл-ғұпыл;0;1;-1;0;0;1;0;0;0;0;0;0
апыр-топыр;0;1;-1;0;1;0;0;1;0;0;1;0
ар-ұждан;1;0;1;0;0;0;0;0;0;0;0;1
ар-ұят;0;1;-1;0;0;0;0;0;0;0;0;0
ара;0;0;0;0;1;0;0;1;0;0;0;0
ара ұясы;0;0;0;1;0;0;0;0;0;0;0;0
араздық;0;1;-1;0;1;0;0;0;0;0;0;0
арақатынас;0;0;0;1;0;0;0;0;0;0;0;0
арал;0;0;0;1;0;0;0;0;0;0;0;0
аралас;1;0;1;0;0;0;0;0;0;0;0;0
араласқан;0;0;0;1;0;0;0;0;0;0;0;0
араластыру;0;0;0;1;0;0;0;0;0;0;0;0
араласу;1;1;0;0;0;0;0;0;0;1;0;0
аралығы;0;0;0;1;0;0;0;0;0;0;0;0
аралық;0;0;0;0;0;1;0;0;0;0;0;0
арам;0;1;-1;0;1;0;1;0;0;1;0;0
арамза;0;1;-1;0;0;0;0;0;0;0;0;0
арамшөп;0;0;0;1;0;0;0;0;0;0;0;0
арамшөптер;0;1;-1;0;0;0;0;0;0;1;0;0
арамшөптерді жою;0;0;0;1;0;0;0;0;0;0;0;0
арамшөпті;0;0;0;1;0;0;0;0;0;0;0;0
арандату;0;1;-1;0;0;0;0;0;0;0;0;0
арандатушы;0;0;0;1;0;0;0;0;0;0;0;0
арасында;0;0;0;1;0;0;0;0;0;0;0;0
арба;0;0;0;1;0;0;0;0;0;0;0;0
арбалет;0;0;0;1;0;0;0;0;0;0;0;0
арбитр;0;0;0;0;0;0;0;0;0;0;0;1
арбитраж;0;0;0;0;0;1;0;0;0;0;0;0
аргент;0;0;0;1;0;0;0;0;0;0;0;0
аргументация;0;0;0;0;1;0;0;0;0;0;0;0
аргументтер;0;0;0;0;1;0;0;0;0;0;0;0
арғы ата;0;0;0;1;0;0;0;0;0;0;0;0
ардагер;1;0;1;0;0;0;0;0;0;0;0;1
арена;0;0;0;1;0;0;0;0;0;0;0;0
ареола;0;0;0;1;0;0;0;0;0;0;0;0
арзан;1;1;0;0;0;0;0;0;0;0;0;0
арифметика;0;0;0;1;0;0;0;0;0;0;0;0
арка;0;0;0;1;0;0;0;0;0;0;0;0
арктикалық;0;0;0;1;0;0;0;0;0;0;0;0
арқа;0;0;0;1;0;0;0;0;0;0;0;0
арқалық;1;0;1;0;0;0;0;0;0;0;0;1
арқан;0;0;0;1;0;0;0;0;0;0;0;0
арқандап байлау;0;0;0;1;0;0;0;0;0;0;0;0
арқандап тұру;0;0;0;0;0;0;0;0;0;0;0;1
арман-аңсарсыз;0;1;-1;0;0;0;0;0;0;0;0;0
армандау;1;0;1;0;0;0;0;0;1;0;0;1
армандаушы;0;0;0;1;0;0;0;0;0;0;0;0
арманшыл;0;0;0;1;0;0;0;0;0;0;0;0
арматура;1;0;1;0;0;0;0;0;0;0;0;0
арна;0;0;0;1;0;0;0;0;0;0;0;0
арнайы;1;0;1;0;0;0;0;0;1;0;0;0
арналған;1;0;1;0;0;1;0;0;0;0;0;0
арнау;1;0;1;0;0;0;0;0;0;0;0;0
арсенал;0;0;0;1;0;0;0;0;0;0;0;0
арсыз;0;1;-1;0;1;0;1;1;0;1;0;0
арсыздық;0;1;-1;0;0;0;1;1;0;0;0;0
артерия;0;0;0;1;0;0;0;0;0;0;0;0
артикуляция;1;0;1;0;0;0;0;0;0;0;0;0
артиллерия;0;1;-1;0;0;0;0;1;0;0;0;0
артишок;0;0;0;1;0;0;0;0;0;0;0;0
артқа;0;0;0;1;0;0;0;0;0;0;0;0
артқа қарай;0;1;-1;0;0;0;1;0;0;0;0;0
артқы;0;0;0;1;0;0;0;0;0;0;0;0
арттыру;1;0;1;0;0;0;0;0;0;0;0;0
артық;0;1;-1;0;0;0;0;0;0;0;0;0
артық айту;0;0;0;1;0;0;0;0;0;0;0;0
артық емес;1;0;1;0;0;1;0;1;1;0;0;1
артық қойма;0;0;0;1;0;0;0;0;0;0;0;0
артықшылық;1;0;1;0;0;0;0;0;0;0;0;1
артықшылықты;1;0;1;0;0;0;0;0;1;0;0;1
археология;1;0;1;0;0;1;0;0;0;0;0;0
археологиялық;0;0;0;1;0;0;0;0;0;0;0;0
архетип;0;0;0;1;0;0;0;0;0;0;0;0
архиепископ;0;0;0;1;0;0;0;0;0;0;0;0
ары қарай;0;0;0;1;0;0;0;0;0;0;0;0
ары-бері;0;0;0;1;0;0;0;0;0;0;0;0
арыз;0;1;-1;0;0;0;0;0;0;0;0;0
арыздану;0;1;-1;0;0;0;0;0;0;0;0;0
арызданшақ;0;1;-1;0;0;0;0;0;0;0;0;0
арық;1;1;0;0;0;0;1;1;0;1;0;0
арыстан;1;0;1;0;0;0;0;1;0;0;0;0
ас қасық;0;0;0;1;0;0;0;0;0;0;0;0
ас қорыту;0;0;0;1;0;0;0;0;0;0;0;0
ас қорыту бұзылысы;0;0;0;1;0;0;0;0;0;0;0;0
ас құралдары;0;0;0;1;0;0;0;0;0;0;0;0
ас үй;0;0;0;1;0;0;0;0;0;0;0;0
аса қымбат;0;1;-1;0;1;0;1;0;0;1;0;0
асау мінез;0;1;-1;0;0;0;0;0;0;0;0;0
асимметрия;0;0;0;0;0;0;1;0;0;0;0;0
асимметриялық;0;0;0;1;0;0;0;0;0;0;0;0
асимптотикалық;0;0;0;1;0;0;0;0;0;0;0;0
аскеттік;0;0;0;1;0;0;0;0;0;0;0;0
аскөк;0;0;0;1;0;0;0;0;0;0;0;0
асқазан;0;0;0;0;0;0;1;0;0;0;0;0
асқақ;0;0;0;1;0;0;0;0;0;0;0;0
асқақтату;1;0;1;0;0;0;0;0;1;0;0;1
асқыну;0;1;-1;0;0;0;0;0;0;0;0;0
аспаз;0;0;0;1;0;0;0;0;0;0;0;0
аспаздық;1;0;1;0;0;0;0;0;0;0;0;1
аспалар;0;0;0;1;0;0;0;0;0;0;0;0
аспалы;0;0;0;1;0;0;0;0;0;0;0;0
аспан;1;0;1;0;0;0;0;0;1;0;0;1
аспандық;1;0;1;0;0;1;0;0;1;0;0;0
аспаптық;1;0;1;0;0;0;0;0;0;0;0;0
аспапшы;0;0;0;1;0;0;0;0;0;0;0;0
аспартам;0;0;0;1;0;0;0;0;0;0;0;0
аспект;0;0;0;1;0;0;0;0;0;0;0;0
аспектілері;0;0;0;1;0;0;0;0;0;0;0;0
ассимиляция;0;0;0;1;0;0;0;0;0;0;0;0
ассимиляциялау;0;0;0;1;0;0;0;0;0;0;0;0
ассортимент;0;0;0;1;0;0;0;0;0;0;0;0
астаналар;0;0;0;1;0;0;0;0;0;0;0;0
астар;0;0;0;1;0;0;0;0;0;0;0;0
астарлы әңгіме;0;0;0;1;0;0;0;0;0;0;0;0
астероидтар;0;0;0;1;0;0;0;0;0;0;0;0
астигматизм;0;0;0;1;0;0;0;0;0;0;0;0
астральды;0;0;0;1;0;0;0;0;0;0;0;0
астролог;1;0;1;0;0;1;0;0;0;0;0;0
